name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,quoteCurrency,underlying,restricted,highLeverageFeeExempt,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h
"ETCHALF/USD",true,false,1,0.00001,0.00001,24260,27753,27844,27753,"spot","ETCHALF","USD","",false,true,-0.0005761820735352371,0.0031809145129224653,0.006199695453556668,0,0
"ETCHEDGE/USD",true,false,0.0025,0.01,0.01,21.9,21.72,21.7975,21.7975,"spot","ETCHEDGE","USD","",false,true,0.0026448942042318307,-0.0046803652968036525,-0.007399817850637523,0,0
"ETHBEAR/USD",true,false,1e-8,100000,100000,0.00000162,0.00000163,0.00000165,0.00000163,"spot","ETHBEAR","USD","",false,true,-0.04678362573099415,-0.1890547263681592,-0.17258883248730963,49286.985,49286.985
"ETHBEAR/USDT",true,false,1e-8,100000,100000,0.00000159,0.00000163,0.00000165,0.00000163,"spot","ETHBEAR","USDT","",false,true,-0.041176470588235294,-0.1890547263681592,-0.17258883248730963,13182.2262,13181.129175135637
"ETHBULL/USD",true,false,0.25,0.0001,0.0001,859.75,856,856.25,856.25,"spot","ETHBULL","USD","",false,true,0.031005418422636967,0.19006254343293955,0.16974043715846995,4612875.2434,4612875.2434
"ETHBULL/USDT",true,false,0.25,0.0001,0.0001,855,854,856.25,855,"spot","ETHBULL","USDT","",false,true,0.02857142857142857,0.18708781673030198,0.16723549488054607,497939.0749,497897.6364101868
"ETHHALF/USD",true,false,1,0.00001,0.00001,24222,24388,24432,24388,"spot","ETHHALF","USD","",false,true,0.005483405483405483,0.031074282332050902,0.028161888701517708,2.4222,2.4222
"ETHHEDGE/USD",true,false,0.005,0.001,0.001,31.955,32.07,32.075,32.07,"spot","ETHHEDGE","USD","",false,true,-0.01338255652976465,-0.06269180184129768,-0.05676470588235294,695.595875,695.595875
"EXCHBEAR/USD",true,false,0.0000025,10,10,0.0063675,0.0063275,0.00641,0.0063675,"spot","EXCHBEAR","USD","",false,true,-0.007017543859649123,-0.034861690034103825,-0.04427767354596623,201.735375,201.735375
"EXCHBULL/USD",true,false,1,0.00001,0.00001,4131,4115,4169,4131,"spot","EXCHBULL","USD","",false,true,0.0024265954865323952,0.029917726252804786,0.041341063776153264,94.92889,94.92889
"EXCHHALF/USD",true,false,1,0.00001,0.00001,18382,17284,17330,17330,"spot","EXCHHALF","USD","",false,true,-0.00011539349180706209,0.0065632804785967355,0.006329481447070438,0,0
"EXCHHEDGE/USD",true,false,0.025,0.001,0.001,201.5,188.05,188.9,188.9,"spot","EXCHHEDGE","USD","",false,true,-0.00013232764324467382,-0.01396319979120449,-0.013834507961367789,0,0
"GRTBEAR/USD",true,false,0.000005,10,10,0.01158,0.011495,0.011645,0.01158,"spot","GRTBEAR","USD","",false,true,-0.06612903225806452,-0.4261645193260654,-0.20357634112792297,62037.169,62037.169
"GRTBULL/USD",true,false,0.00025,0.1,0.1,1.0175,1.02475,1.037,1.02475,"spot","GRTBULL","USD","",false,true,0.031973816717019134,0.5317638266068759,0.1802476245321048,727349.26405,727349.26405
"HALF/USD",true,false,1,0.00001,0.00001,14288,14287,14309,14288,"spot","HALF","USD","",false,true,-0.0006993985172751433,0.01171888829881395,0.011754708964735874,71.097,71.097
"HALFSHIT/USD",true,false,1,0.00001,0.00001,20976,21233,21293,21233,"spot","HALFSHIT","USD","",false,true,0.0011788004526593738,0.013750298400572928,0.01225209763539283,0,0
"HEDGE/USD",true,false,0.01,0.001,0.001,142.34,142.85,143,142.85,"spot","HEDGE","USD","",false,true,0.003089670669194579,-0.02524735585124531,-0.02278013408126967,1069.18742,1069.18742
"HEDGESHIT/USD",true,false,0.01,0.001,0.001,112.15,107.8,108.36,108.36,"spot","HEDGESHIT","USD","",false,true,-0.002118058753108021,-0.03379402585822559,-0.030509081148787687,1007.89205,1007.89205
"HTBEAR/USD",true,false,0.000005,10,10,0.01628,0.0162,0.01645,0.01628,"spot","HTBEAR","USD","",false,true,-0.030663888061923193,-0.12331717824448034,-0.1008008837337752,10927.6052,10927.6052
"HTBULL/USD",true,false,0.0025,0.01,0.01,9.865,9.8575,10.005,9.865,"spot","HTBULL","USD","",false,true,0.01858544140423335,0.11753044463324837,0.08496013197690404,8631.2365,8631.2365
"HTHALF/USD",true,false,0.5,0.00001,0.00001,10452,10666.5,10701.5,10666.5,"spot","HTHALF","USD","",false,true,0.004425820424690428,0.01915727116376839,0.016583273766976412,0,0
"HTHEDGE/USD",true,false,0.05,0.0001,0.0001,351.2,349.8,351.7,351.2,"spot","HTHEDGE","USD","",false,true,-0.005803255484784147,-0.03859841226389269,-0.02983425414364641,3550.58947,3550.58947
"IBVOL/BTC",true,false,0.00005,0.0001,0.0001,0.08335,0.0814,0.08295,0.08295,"spot","IBVOL","BTC","",false,true,-0.0018050541516245488,0.01282051282051282,0.01282051282051282,0.00105968,37.58731686602316
"IBVOL/USD",true,false,0.25,0.0001,0.0001,2910.75,2897.75,2910.75,2910.75,"spot","IBVOL","USD","",false,true,0.006048561306489242,0.03807061340941512,0.02789794296812925,38.737925,38.737925
"IBVOL/USDT",true,false,0.25,0.0001,0.0001,2867,2896,2903,2896,"spot","IBVOL","USDT","",false,true,0.0015562856648798202,0.03317873706742776,0.022960084775697633,2.2792,2.279010324976
"KNCBEAR/USD",true,false,0.0000025,10,10,0.0051225,0.0050925,0.0052175,0.0051225,"spot","KNCBEAR","USD","",false,true,-0.01867816091954023,-0.07951482479784366,-0.10170977641385358,1613.92635,1613.92635
"KNCBEAR/USDT",true,false,0.0000025,10,10,0.005165,0.0050825,0.0052025,0.005165,"spot","KNCBEAR","USDT","",false,true,0,-0.08300044385264092,-0.07229456668163449,4610.714075,4610.330371374678
"KNCBULL/USD",true,false,0.00025,0.1,0.1,1.097,1.07925,1.085,1.085,"spot","KNCBULL","USD","",false,true,0.010006981615080289,0.07799304520615996,0.09402571212503151,5098.155225,5098.155225
"KNCBULL/USDT",true,false,0.00025,0.1,0.1,0.9825,1.0705,1.097,1.0705,"spot","KNCBULL","USDT","",false,true,0.0023408239700374533,0.06703214552703712,0.05728395061728395,137.8517,137.840227981526
"KNCHALF/USD",true,false,0.5,0.00001,0.00001,7987.5,7815.5,7844.5,7844.5,"spot","KNCHALF","USD","",false,true,0.000637795777791951,0.012389494740917597,0.014287561417119213,0,0
